iter	Passed	Remaining
325	5344	2852
326	5361	2836
327	5376	2819
328	5398	2806
329	5416	2790
330	5432	2773
331	5449	2757
332	5466	2741
333	5483	2725
334	5497	2707
335	5518	2693
336	5535	2677
337	5552	2661
338	5566	2643
339	5582	2627
340	5600	2611
341	5615	2594
342	5633	2578
343	5647	2561
344	5664	2544
345	5681	2528
346	5697	2512
347	5712	2495
348	5726	2477
349	5740	2460
350	5755	2443
351	5768	2425
352	5782	2407
353	5797	2391
354	5811	2373
355	5829	2357
356	5844	2341
357	5859	2324
358	5875	2307
359	5893	2291
360	5910	2275
361	5928	2259
362	5944	2243
363	5961	2227
364	5977	2211
365	5994	2194
366	6011	2178
367	6029	2162
368	6046	2146
369	6062	2129
370	6081	2114
371	6095	2097
372	6112	2081
373	6129	2064
374	6147	2049
375	6162	2032
376	6180	2016
377	6195	1999
378	6212	1983
379	6229	1967
380	6244	1950
381	6259	1933
382	6276	1917
383	6291	1900
384	6309	1884
385	6327	1868
386	6345	1852
387	6363	1836
388	6378	1820
389	6395	1803
390	6410	1787
391	6425	1770
392	6442	1754
393	6457	1737
394	6474	1721
395	6493	1705
396	6511	1689
397	6527	1672
398	6544	1656
399	6559	1639
400	6575	1623
401	6591	1606
402	6608	1590
403	6625	1574
404	6640	1557
405	6655	1541
406	6672	1524
407	6688	1508
408	6704	1491
409	6719	1475
410	6734	1458
411	6751	1441
412	6765	1425
413	6780	1408
414	6821	1397
415	6864	1386
416	6882	1369
417	6901	1353
418	6916	1337
419	6930	1320
420	6947	1303
421	6963	1287
422	6979	1270
423	6993	1253
424	7009	1236
425	7025	1220
426	7040	1203
427	7054	1186
428	7069	1169
429	7084	1153
430	7101	1136
431	7118	1120
432	7134	1103
433	7151	1087
434	7167	1071
435	7184	1054
436	7200	1038
437	7216	1021
438	7233	1005
439	7249	988
440	7266	972
441	7280	955
442	7298	939
443	7314	922
444	7332	906
445	7348	889
446	7364	873
447	7380	856
448	7397	840
449	7412	823
450	7427	806
451	7444	790
452	7460	774
453	7476	757
454	7492	741
455	7507	724
456	7523	707
457	7540	691
458	7556	674
459	7573	658
460	7589	642
461	7606	625
462	7624	609
463	7641	592
464	7658	576
465	7675	560
466	7691	543
467	7706	526
468	7723	510
469	7740	494
470	7755	477
471	7773	461
472	7788	444
473	7806	428
474	7823	411
475	7839	395
476	7855	378
477	7871	362
478	7890	345
479	7907	329
480	7925	313
481	7942	296
482	7959	280
483	7978	263
484	7994	247
485	8012	230
486	8029	214
487	8043	197
488	8059	181
489	8077	164
490	8093	148
491	8105	131
492	8122	115
493	8139	98
494	8155	82
495	8171	65
496	8185	49
497	8200	32
498	8216	16
499	8231	0
